¡marcarlo!,Lo que se dice a la persona con la pizarra para que chasquee los palos juntos.
Action,"(1) cualquier movimiento o serie de eventos (generalmente ensayados) que tienen lugar frente a la cámara y propulsan la historia hacia su conclusión, (2) la palabra llamada (por un megáfono) al comienzo de la toma actual durante el rodaje para alertar a los actores para que comiencen a actuar, (3) también se refiere al componente principal de las películas de acción, que a menudo contienen cantidades significativas de violencia."
Actor,"Se refiere tanto a un intérprete masculino como a cualquier hombre o mujer que interpreta un papel de personaje en una película, términos alternativos de género neutro: jugador, artista o intérprete."
Actress,Se refiere a cualquier mujer que interpreta un papel en una película.
Ad Lib,"Una línea de diálogo improvisada por un actor durante una actuación, puede ser no guionada o deliberada, la improvisación consiste en diálogo (y acción) improvisado inventado o creado por el intérprete."
Adaptation,"La presentación de una forma de arte a través de otro medio, una película basada, derivada (o adaptada) de una obra de teatro (o de otro medio como un cuento, libro, artículo, historia, novela, videojuego, tira cómica/libro, etc.) Que básicamente preserva tanto el entorno como el diálogo del original, puede ser en forma de guion (guion) o tratamiento de propuesta."
Aerial Shot,"Una toma de cámara filmada en una ubicación exterior desde muy arriba (desde una vista aérea), como desde un helicóptero (el más común), dirigible, globo, avión, dron o cometa, algunas tomas aéreas usan maquetas o se crean con cgi (digitalmente), una variación de la toma con grúa, si la toma aérea es al comienzo de una película, también conocida como toma establecedora."
Against Type,Ver typecasting.
Alan Smithee Film,"El seudónimo utilizado por los directores que se niegan a poner su nombre en una película y quieren disociarse, generalmente cuando creen que su control o visión ha sido cooptado por el estudio (es decir, la película podría haber sido reeditada, mutilada y alterada en contra de sus deseos), también conocido como alan smithee jr., Allan smithee o allen smithee."
Allegory,"Principalmente un término literario, pero tomado en términos cinematográficos para significar una semejanza o correspondencia sugerente entre un evento o personaje visible en una película con otros niveles de significado o abstracción más significativos fuera de la película, una metáfora extendida."
Allusion,"Una referencia directa o indirecta, a través de una imagen o mediante diálogo, a la biblia, un clásico, una persona, un lugar, un evento externo y/o real, otra película o una idea cultural bien conocida."
Alternate Ending,"La filmación (o re-filmación) del final de una película para su estreno teatral, generalmente impuesta por el estudio por cualquier número de razones (debido a resultados de preestrenos con audiencia de prueba, temas controvertidos o impopulares, para proporcionar un final 'feliz', etc.). Ver también versión del director."
Ambiance,La sensación o estado de ánimo de una escena o entorno en particular.
Ambient Light,"La luz natural (generalmente suave) o luz circundante alrededor de un sujeto en una escena, también ver iluminación de fondo."
Ambiguity,"Una situación, línea argumental, escena o personaje, etc., En la que hay contradicciones aparentes, un evento (y su resultado) se deja deliberadamente poco claro, y puede existir más de un significado o interpretación, puede ser intencional o no intencional, para provocar deliberadamente el pensamiento imaginativo o la confusión."
Anachronism,"Un elemento o artefacto en una película que pertenece a otro tiempo o lugar, a menudo se llaman elementos anacrónicos errores de película."
Anamorphic,"Relacionado con diferentes efectos de imagen óptica, se refiere a un método de distorsión intencional y creación de una imagen de pantalla ancha con película estándar, utilizando un proceso de conversión o un lente especial en la cámara y el proyector para producir diferentes magnificaciones en las dimensiones vertical y horizontal de la imagen, una imagen anamórfica generalmente aparece ""aplastada"" horizontalmente, mientras conserva su resolución vertical completa, ver también relación de aspecto y el nombre comercial cinemascope. Muchos estudios produjeron lentes anamórficos, utilizando otros nombres comerciales como panavision, technovision y technirama. En la derecha se muestran ejemplos de efectos de imagen anamórfica de la película blade (1998) (con una relación de aspecto de 2:35.1)."
Ancillary Rights,"Acuerdo contractual en el que un porcentaje de las ganancias es recibido por individuos, o derivado de la venta de figuras de acción, carteles, cds, libros, camisetas, etc."
Angle,"Se refiere a la perspectiva desde la cual una cámara representa su sujeto, ver ángulo de cámara y otros planos específicos (alto, bajo, oblicuo, etc.), áNgulo en se refiere a dirigir la cámara para moverse y enfocarse en un sujeto específico."
"Animation (and Animator, Animated Films)","Una forma o proceso de realización de películas en la que objetos inanimados y estáticos o dibujos individuales (hechos a mano o cgi) son filmados ""fotograma a fotograma"" o un fotograma a la vez (en oposición a ser filmados ""en vivo""), cada uno difiriendo ligeramente del fotograma anterior, para crear la ilusión de movimiento en una secuencia, en lugar de filmar acción que ocurre naturalmente u objetos en vivo a una velocidad de fotogramas regular. A menudo se usa como sinónimo de dibujos animados (o toons para abreviar), aunque la animación incluye otros medios como la plastilina, la animación por computadora, ver también cgi, plastilina, stop-motion, lapso de tiempo."
Anime,"Un estilo distintivo de película animada que tiene sus raíces en los libros de cómics japoneses (conocidos como manga), pero que cubre una amplia gama de géneros, como romance, acción/aventura, drama, gótico, histórico, horror, misterio, erótica (hentai), cuentos para niños, aunque más notablemente temas de ciencia ficción y fantasía, originalmente llamado 'japanimation' pero este término ya no se usa, el anime se encuentra en una amplia variedad de tramas y configuraciones, pero generalmente es reconocible y a menudo se caracteriza por fondos muy estilizados, imágenes y gráficos coloridos, expresiones faciales altamente exageradas con movimiento facial limitado, simulación de movimiento variando el fondo detrás de un personaje estático u otro elemento en primer plano, y frecuentemente, personajes con cabezas grandes y ojos grandes de niño."
Antagonist,"El principal personaje, persona, grupo, sociedad, naturaleza, fuerza, mundo espiritual, malo o villano de una película o guion que está en conflicto adversarial con el héroe de la película, personaje principal o protagonista, a veces también se le llama el antagonista."
Anthology Film,"Una película de múltiples partes o segmentada con una colección o serie de varios cuentos o historias cortas a veces vinculadas por algún tema o por un cuento de 'envoltura', a menudo las historias son dirigidas por diferentes directores o escritas por varios guionistas, y están en el género de cine de terror, también conocido como película episódica o película omnibus, este término también puede referirse a una película documental compilatoria de larga duración de segmentos o clips extraídos de otras películas (es decir, eso es entretenimiento (1974)). Aka: película omnibus o película de paquete. Ver también: película de maleta."
Anthropomorphism,"La tendencia en las películas animadas a dar a criaturas u objetos cualidades, habilidades y características humanas."
Anti-climax,"Cualquier cosa en una película, generalmente después del punto culminante, cenit, apogeo, clímax o clímax de la película, en la que hay una decepcionante y desalentadora disminución de la emoción, o lo esperado no ocurre."
Anti-hero,"El principal protagonista de una película que carece de los atributos o características de un arquetipo de héroe típico, pero con el que el público se identifica. El personaje a menudo está confundido o en conflicto con morales ambiguas, o defectos de carácter y excentricidades, y carece de coraje, honestidad o gracia. El anti-héroe puede ser resistente pero simpático, o mostrar rasgos vulnerables y débiles. Específicamente, el anti-héroe a menudo funciona fuera de la corriente principal y la desafía."
Aperture,Se refiere a la medida de la apertura en un objetivo de cámara que regula la cantidad de luz que pasa y entra en contacto con la película.
Arc Shot,Una toma en la que el sujeto(s) es fotografiado por una cámara que lo rodea o se mueve.
Archetype,"Un personaje, lugar o cosa, que se presenta repetidamente en películas con un estilo o caracterización particular."
Arrastre,"Arrastre - una transferencia de sonido ralentizada desde la velocidad de la película, 24 fotogramas por segundo de película, a la velocidad de vídeo, 29.97 Fotogramas por segundo de vídeo, que es el equivalente a 23.98 Fotogramas por segundo de película. Esto debe hacerse para alinearlo con una transferencia de vídeo de la imagen cuando se transfiere el sonido sincrónico al vídeo."
Arret,"French word meaning 'halt' or 'stop', refers to the in-camera trick technique of stopping the camera, then removing or inserting an object, then restarting the camera to have an object magically disappear or appear, one of the earliest techniques of silent film"
Art Director,"Refers to the individual (a member of the film's art department) responsible for the design, construction, look, and feel of a film's set, including the number and type of props (furniture, windows, floors, ceilings dressings, and all other set materials) and their placement"
Art-house,"A niche motion picture theater that shows foreign, low-budget, or non-mainstream independent films, often refers to films that are considered high-brow or 'art' films (see below)."
Art-house Film,"Films, often low budget or 'art' films, that are acknowledged as having artistic merit or aesthetic pretensions, and are shown in an art-house theatre, films shown usually include foreign-language films, independent films, non-mainstream (sometimes anti-hollywood) films, shorts, documentaries, explicitly-erotic films, and other under-appreciated cinema of low mass appeal, began to appear in the 1950s and provided a distinct contrast to commercial films."
Aside,Occurs when a character in a film breaks the 'fourth wall' and directly addresses the audience with a comment.
Aspect Ratio,"In general, a term for how the image appears on the screen based on how it was shot, refers to the ratio of width (horizontal or top) to height (vertical or side) of a film frame, image or screen, the most common or standard aspect ratio in early films to the 1950s was called academy aperture (or ratio), at a ratio of 1.33:1 (The same as 4:3 ratio on a non-widescreen tv), normal 35mm films are shot at a ratio of 1.85:1, New widescreen formats and aspect ratios were introduced in the 1950s, from 1.65:1 And higher, cinemascope (a trade name for a widescreen movie format used in the us from 1953 to 1967) and other anamorphic systems (such as panavision) have a 2.35:1 Ar, while 70mm formats have an ar of 2.2:1, Cinerama had a 2.77:1 Aspect ratio, letterboxed videos for widescreen tv's are frequently in 16:9 (or 1.77:1) Ar."
Assembly,"The first stage or step of editing, in which all the shots are arranged in script order."
Asynchronous (sound),"Refers to audio-track sounds that are mismatched or out of conjunction or unison with the images in the visual frame (or screen), sometimes accidental, but sometimes intentional, aka non-synchronized"
Atmosphere,Refers to any concrete or nebulous quality or feeling that contributes a dimensional tone to a film's action.
Audience,"Refers to spectators, viewers, participants - those who serve as a measure of a film's success, although usually audiences are viewed in universal terms, they can also be segmented or categorized (e.G., 'Art-film' audiences, 'chick film' audiences, etc.)."
Audio,Refers to the sound portion of a film.
Audio Bridge,"Refers to an outgoing sound (either dialogue or sound effects) in one scene that continues over into a new image or shot - in this case, the soundtrack, not a visual image, connects the two shots or scenes, aka lightning mix"
Audition,"The process whereby an actor-performer seeks a role by presenting to a director or casting director a prepared reading or by 'reading cold' from the film script, or performing a choreographed dance, after the initial audition, a performer may be called back for additional readings or run-throughs."
"Auteur
(or Auteur Theory)","Literally the french word for ""author"", in film criticism, used in the terms auteurism or auteur theory, denoting a critical theory (originally known as la politique des auteurs or ""the policy of authors"") popular in france in the late 1940s and early 1950s that was introduced by francois truffaut and the editors (including legendary film critic and theorist andre bazin) of the celebrated french film journal cahiers du cinéma (literally 'cinema notebooks'), arguably the most influential film magazine in film history, their ideas were subsequently enlarged upon in the 1960s by american critic andrew sarris, among others, the theory ascribed overall responsibility for the creation of a film and its personal vision, identifiable style, thematic aspects and techniques to its film-maker or director, rather than to the collaborative efforts of all involved (actors, producer, production designer, special effects supervisor, etc), the theory posited that directors should be considered the 'true' authors of film (rather than the screenwriters) because they exercise a great deal of control over all facets of film making and impart a distinctive, personal style to their films, simply stated, an auteur can refer to a director with a recognizable or signature style."
Available Light,"The naturally-existing light in an off-set location, a film's realism is enhanced by using available or natural light rather than having artificial light."
Avant-garde,"Refers to an experimental, abstract, or highly independent, non-independent film that is often the forerunner of a new artistic genre or art form, avant-garde films self-consciously emphasize technique over substance, also loosely applies to a group of french and german filmmakers in the early 20th century and to some modern american experimental filmmakers (e.G., Andy warhol), and their film movement that challenged conventional film-making, see also cinema verite, surrealism, and abstract form"
Axis Of Action,"An imaginary or invisible line (or axis) that passes through two main subjects being filmed in a scene, who face each other (one is left, the other is right), conventionally, the camera must maintain that left-right relationship or orientation in order to avoid disorienting or distracting the viewer with a reverse angle shot (although sometimes this effect is intentional), see also 180 degree rule"
"B-film
(or B-movie,
b-picture)","An off-beat, low-budget, second-tier film, usually from an independent producer, they were predominant from the 1920s to the late 1940s, they were shot quickly with little-known, second rate actors, short run times, and low production values, often the second film (or the 'lower half') of a double-feature, and paired with an a-feature, the vintage b-movie began to decrease in the 50s, or morphed into inferior tv series, sometimes b-films were exclusively shown in a grindhouse, especially in the 50s and 1960s, as code restrictions waned in the late 60s, b-films often became exploitation films, which added sensational and catchy titles, campy acting, cheesy special effects, and gratuitous violence and sexuality (nudity), contrast to a-pictures (first-class, big-budget films with high-level production values and star-power), not to be confused with cult films, although some b-films attained cult status"
Back Lot,"An undeveloped area, on studio property, in an open-air, outdoor space away from the studio stages, where real-life situations with backgrounds can be filmed, contrasted to on-location shoots that are more expensive, various studios in the los angeles area offer back lot tours."
Back Projection,"A photographic technique whereby live action is filmed in front of a transparent screen onto which background action is projected. Back projection was often used to provide the special effect of motion in vehicles during dialogue scenes, but has become outmoded and replaced by bluescreen (or greenscreen) processing and traveling mattes, also known as rear projection or process photography (or shot), contrast to matte shot."
Back Story,"Refers to the events that directly happened prior to the beginning of the story, or lead to the story, composed of information that helps fill out the skeletal story of a screenplay or a character's background, often to help actors (or the audience) understand motivation."
Backdrop,"Refers to a large photographic backing or painting for the background of a scene (e.G., A view seen outside a window, a landscape scene, mountains, etc.), Usually painted on flats (composed of plywood or cloth), a large curved backdrop (often representing the sky) is known as a cyclorama, backdrops were more commonly used before the current trend toward on-location shooting and the use of bluescreens."
Background,"Refers to anything occuring in a rear plane of action (the background as opposed to the main action or attention in the foreground), abbreviated as b.G."
Background Artist,"The individual who designs the visual background of a film scene, either traditionally painted or using digital technology, aka matte artist"
Background Music,"Refers to part of the score that accompanies a scene or action in a film, usually to establish a specific mood or enhance the emotion."
Backlighting,"This phenomenon occurs when the lighting for the shot is directed at the camera from behind the subject(s), causing the figure(s) in the foreground to appear in semi-darkness or as silhouettes, or highlighted, with backlighting, the subject is separated from the background"
Backwind,Retroceder la película en la cámara para realizar una doble exposición.
Balance,"Dentro del encuadre visual de una película, se refiere a la composición, calidad estética o trabajo conjunto de las figuras, la luz, el sonido y el movimiento."
Balance Stripe,Una segunda franja encontrada en cinta de 35 mm y película de sonido super-8 para evitar el alabeo.
Banco De Edición,"Un banco de trabajo con rebobinados adjuntos, y a veces una mesa de luz incorporada en el centro."
Bandera,"Tiene dos significados. 1.: Puede ser una gran tela negra en un marco usada en una filmación para evitar que la luz entre en parte de la composición. 2.: En la sala de montaje, es un pequeño trozo de cinta pegado a una toma en un rollo y usado exactamente como usarías un marcador de libro. La bandera sobresale del lado del rollo, lo que facilita encontrar esa toma nuevamente rápidamente."
Bandera Francesa,Una pequeña bandera metálica negra unida a la cámara con un brazo posicionable que se usa para sombrear la lente de la luz en el caso de un resplandor.
Banned,"El bloqueo del lanzamiento de una película (en una proyección teatral o en video) por parte del gobierno o una junta oficial de clasificación de películas, por razones políticas, religiosas, sexuales o sociales, ver también censura."
Barn Doors,Las puertas plegables de metal negro en los cuatro lados de una luz que pueden doblarse hacia adelante y hacia atrás en sus bisagras para controlar hacia dónde se dirige la luz.
Barndoors,"Pantallas útiles en los lados de las luces que se pueden utilizar para controlar la dirección de la luz. También se pueden utilizar para colocar un gel de iluminación. Se calientan mucho cuando la luz está encendida, por lo que es mejor usar guantes de trabajo al ajustarlas."
Barney,Una funda acolchada que se adapta alrededor de una cámara para reducir el ruido de la misma.
Base,"Uno de los dos elementos básicos de la película: la base es la tira clara y perforada, y la emulsión es la capa delgada y fotosensible que se adhiere a ella."
Base De Poliéster,"La base de poliéster es un tipo de película muy resistente, prácticamente irrompible."
Base Estar,Un nombre de marca para la base de poliéster.
Based On A True Story,"Películas que consisten en una línea argumental que tiene al menos cierta base en eventos históricos reales, y puede contener solo unos pocos elementos factuales."
Bayonet,"Un tipo de montura de lente comúnmente utilizada con lentes más pesados, como los objetivos zoom."
Beat,"Se refiere al término de un actor para cuánto tiempo esperar o pausar antes de realizar una acción, un ""beat"" suele ser aproximadamente de un segundo."
Behind The Scenes,Los eventos o circunstancias fuera de cámara durante la realización de una película.
Below The Line,"Incluye los gastos de producción que no están por encima de la línea, como los costos de material, derechos musicales, publicidad, el tráiler, contrario a por encima de la línea."
Best Boy,"El término para cualquier asistente técnico, aprendiz o ayudante (independientemente del sexo) del jefe de iluminación o del agarrador en un set, responsable del enrutamiento y enrollado de cables de alimentación necesarios para ejecutar las luces para una toma."
Best Light,"Similar a una sola luz, pero seleccionada por el cronometrador para estar de acuerdo con la mayoría de las imágenes."
Beta,Videocinta de 1/2 pulgada que originalmente se llamaba betamax.
Billing,"La colocación o exhibición de nombres de actores, directores y productores para una película en materiales publicitarios, créditos iniciales (o finales) de la película, y en carteles de teatro."
Bin,Ver trim bin.
Bio-pic,Una película biográfica de la vida de una personalidad famosa o figura histórica.
Bit Part,"Un pequeño papel de actuación (generalmente solo una escena, como un camarero) con muy pocas líneas o actuación."
Biz,"En abreviatura, se refiere al ""negocio"", o ""industria del entretenimiento""."
Black And White,Simplemente significa sin color.
Black Leader,"Una película opaca y negra, a menudo llamada específicamente líder de emulsión negra."
Black Or Dark Comedy,"Un tipo de comedia en la que se tratan temas normalmente serios, como la guerra, la muerte, el desmembramiento, la miseria, el sufrimiento o el asesinato, con humor macabro y sátira."
Blacklisting,"Se refiere a la discriminación formal e informal y al 'blacklisting' (efectivamente prohibición de empleo) de varios actores, artistas y cineastas basado en sus creencias personales, políticas, sociales o religiosas."
Blaxploitation,"Una combinación de los términos ""negro"" y ""explotación"", se refiere principalmente a películas sensacionales y de bajo presupuesto en la década de 1970 con la mayoría del reparto (y directores) afroamericanos."
Blighty,Se usaba para referirse a gran bretaña.
Blimp,Un recinto de fibra de vidrio utilizado para encerrar una cámara ruidosa para hacerla adecuada para la filmación de sonido sincronizado.
Blimpear Cámara O Cámara Autoblindada,"El término se usa no para significar una cámara en un blimp, sino una cámara que está diseñada con aislamiento acústico interno sin necesidad de un blimp externo. Por ejemplo, con una arri bl, ""bl"" significa ""blimped""."
Blockbuster,"Originally referred to a large bomb that would destroy an entire city block during world war ii, now in common usage, an impactful movie that is a huge financial success - usually with box-office of more than $200 million (the new benchmark by the early 2000s, after the original mark was $100 million) upon release in north america, ticket lines for blockbusters literally go around the 'block', also known as box-office hit, the term may also refer to a costly film that must be exceptionally popular in order to recoup its expenses and make a profit, the opposite of a blockbuster is a bomb, flop, or turkey. See all-time box-office bombs/flops."
Blocking A Shot (or Scene),"The process of figuring out where the camera goes, how the lights will be arranged, and what the actors' positions and movements - moment by moment - are for each shot or take, often, the specific staging of a film's movements are worked out by the director, often with stand-ins and the lighting crew before actual shooting"
Blooper,"An actual error or mistake (misplaced action, or mis-spoken dialogue by a performer), usually embarrassing or humorous, made by a performer during filming, also known as a goof, flaw or flub, see also continuity"
Blow Down,"El término real para el opuesto de un ""blow up"" es una impresión de reducción, pero este término ha sido acuñado por colorlab en rockville, maryland, para una impresión de reducción hecha de super 16mm a 16mm regular, como una alternativa al proceso mucho más caro de soplar super 16mm a 35mm."
Blow Up,"Un agrandamiento óptico de una película de un calibre a otro, como de 16mm a 35mm. El opuesto de un ""blow up"" es una impresión de reducción."
Blow-up,"An optical process - the enlargement of a photographic image or film frame, often used to create 70mm release prints from original 35mm films"
"Blue-screen
or
blue-screen Shot","A special-effects process whereby actors work in front of an evenly-lit, monochromatic (usually blue or green) background, screen, or backdrop. The background is then replaced (or matted) in post-production by chroma-keying or optical printer, allowing other footage or computer-generated images (cgi) to form the background image, since 1992, most films use a green-screen"
Blurb,Another name for a commercial or advertisement (usually for tv)
Bobina Doble,"En 35mm, una bobina doble son 2 bobinas simples unidas, con un tamaño máximo de 2,000 pies. Las bobinas dobles están etiquetadas como 1 a/b, 2 a/b, etc., Para distinguirlas de las bobinas simples."
Bobinado Ajustado,"Un accesorio útil que a veces se encuentra en un banco de edición en el rebobinado derecho, utilizado para enrollar la película en un núcleo y darle un borde muy suave. Puede ser más rápido que abrir y apretar carretes divididos si solo estás rebobinando un rollo completo."
"Body Double
(or Double)","A performer who takes the place of an actor in scenes that require a close-up of body parts without the face visible, often for nude scenes requiring exposed close-ups (considered distasteful by some actors), or scenes requiring physical fitness, not to be confused with stunt double or stand-in"
Bolex,"Una de las cámaras no sincrónicas de 16 mm más utilizadas, fabricada en suiza por la compañía paillard. Hay muchas variedades, sin reflexión, con reflexión, de cuerda y motorizadas eléctricas. Pero cuando alguien dice ""bolex"", típicamente se refieren a un modelo reflex, de cuerda, como el rex-4."
Bollywood,"Refers to the burgeoning film industry of india, the world's biggest film industry, centered in bombay (now mumbai), the etymology of the word: from bo(mbay) + (ho)llywood, unlike hollywood, however, bollywood is a non-existent place."
Bookends,"A term denoting scenes at the beginning and end of a film that complement each other and help tie a film together, aka framing device"
Boom,"A traveling or moveable counter-balanced pole (also called fishpole or fishing rod), arm, or telescoped extension device upon which a microphone, light or camera can be suspended overhead above a scene and outside the frame during filming (by a boom operator or boom man), for example, a microphone (mike) boom, a camera boom, or a light boom, the most common film mistake is the appearance of the boom mike (or its shadow) in the frame, a mechanical boom mike is known as a 'giraffe.'"
Boom Shot,"A continuous single shot made from a moving boom, assembled like a montage, and incorporating any number of camera levels and angles."
Bootleg,"An illegally copied, unauthorized, and/or distributed version of a copyrighted film/video/dvd, often of second-rate quality, also termed pirated."
Bote De Edición,Ver bote de recorte.
Bounce Board,"Refers to a device to reflect light during filming, the board is usually a large white surface made of foam or poster board"
Bounce Card,"Una tarjeta blanca o plateada utilizada para iluminar suavemente el sujeto al reflejar la luz en la tarjeta. También se puede utilizar para iluminar suavemente las áreas de sombra. Especialmente al aire libre, ya que no requiere energía."
Bowdlerize(d),"Refers to purging anything considered disturbing, vulgar, or adult in content in order to make it sanitized for mass market consumption and appropriate for children, originally a literary term derived from the name of englishman thomas bowdler who published a 'censored' family shakespeare version in the early 1800s."
Box-office,"The measure of the total amount of money or box-office receipts paid by movie-goers to view a movie, also referred to as b. O. Or gross, usually divided into domestic grosses (unadjusted and adjusted for inflation), and worldwide grosses, films with great box-office results or a strong and outstanding performance are often termed 'boff', 'boffo', 'boffola', 'whammo', 'hotsy', or 'socko'."
Bracketing,"La filmación de varias tomas de la misma escena con diferentes aberturas para lograr el resultado deseado. Normalmente, esta técnica se aplica más a la filmación de títulos que a cualquier otra cosa. (Es una buena idea filmar unos cuadros negros entre tomas, ya que a veces es difícil decir dónde se detuvo la cámara)."
Bracketing,The act of shooting a scene several times with different f-stops to try and get a certain desired effect
Bridging Shot,"A transitional type of shot used to cover or 'bridge' a jump in time or place or other discontinuity, see also audio bridge and match-cut"
Buddy Film,"A subgenre of film (comedies, westerns, dramas, action films, road films, etc.) In which two mismatched persons (usually males) are forced to work together, often a pair of police cops, situations are often contrived to present the pair with challenges or strains that both strengthen their bond and weaken it, buddy films are often action/comedy films with witty dialogue between the two characters and sometimes the inclusion of a love triangle, has been extended to include female buddies, compare to fish-out-of-water tale"
Building A Scene,"Using dramatic devices such as increased tempo, volume, and emphasis to bring a scene to a climax"
Bumper,"Usually refers to the pre-film segment of pre-made film that contains studio trademark and logo or title identification, also refers to a period of positive financial growth (i.E., It was a 'bumper year' for films)"
Buzz,"Slang for the sense of excitement, expectancy, and hype that surrounds a film, an actor, or a director"
Buzz Track,"A soundtrack of natural, atmospheric, on-location background noise that is added to the re-recorded (or looped) track of actors' dialogue and other sound effects recordings to create a more realistic sound, aka referred to as room tone or matching ambient sound, a wild track or sound refers to a soundtrack w/o any synchronized picture accompanying it (e.G., The sounds of a playground)"
C-mount,"Un tipo de montura de lente roscada, comúnmente utilizada en cámaras de 16mm más pequeñas, como la bolex."
C-stand,"Un tipo de soporte de luz con patas fijas que se balancean hacia afuera o juntas cuando no están en uso, generalmente equipado con un brazo y utilizado típicamente para sostener una bandera."
C.R.,"Abreviatura de ""camera roll"" (rollo de cámara)."
C.T.B.,"Abreviatura de ""color temperature blue"" (temperatura de color azul). Esto es una abreviatura para los geles de corrección de color utilizados en la iluminación para convertir la temperatura de color de tungsteno a luz de día. Vienen en gradientes: cuarto de azul, medio azul, azul completo."
C.T.O.,"Abreviatura de ""color temperature orange"" (temperatura de color naranja). Esto es una abreviatura para los geles de corrección de color utilizados en la iluminación para convertir la temperatura de color de luz de día a tungsteno. Vienen en gradientes: cuarto de naranja, medio"
Cabeza,"1.: El comienzo de una toma o un rollo se llama la cabeza. 2.: Una pequeña abrazadera redonda, generalmente utilizada junto con un brazo en un soporte en c. 3.: La cabeza del trípode."
Cabeza De Trípode,La parte del trípode con el mecanismo de inclinación y giro a la que se une la cámara.
Cabina De Carga,Cabina de carga - un pequeño cuarto oscuro que a veces se encuentra en un escenario de sonido para cargar película en revistas como una alternativa más espaciosa a una bolsa de cambio.
Cable Sync,"Un método algo arcaico de filmación de sonido sincronizado, donde un cable va desde un generador de tono piloto en la cámara hasta la grabadora de cinta."
Caja De Bóveda,"Caja de bóveda - una caja de cartón cuadrada y blanca diseñada para contener 1,000 pies de 35mm o dos rollos de 1,000 pies de 16mm."
Caja De Difusor,"Caja de difusor - una sombra cuadrada que se coloca frente al objetivo, generalmente soportada por un par de varillas que se conectan a la cámara. Una caja de difusor a menudo tiene portafiltros para filtros cuadrados de vidrio. (A menudo es útil para hacer una toma mate.)"
Calibre,"El tamaño, específicamente el ancho, de un formato de película: 16mm, 35mm, super-8 son calibres."
